,white_count,black_count,white_hispanic_count,black_hispanic_count,asian_pacific_count,native_alaskan_count
CALM,442,2723,924,372,121,1
NERVOUS,210,1109,494,210,49,1
NORMAL,103,488,205,92,17,
COOPERATIVE,68,362,170,70,15,2
UPSET,57,596,150,82,10,
COMPLIANT,53,272,129,48,12,
AGITATED,31,322,99,34,10,
ANGRY,27,335,77,32,1,
CONFUSED,23,110,48,15,8,
ANNOYED,15,212,49,22,2,
UNDERSTANDING,15,226,76,32,16,1
ANXIOUS,14,41,21,4,3,
SCARED,13,34,20,4,5,
SWEATING,11,58,19,5,2,
INTOXICATED,11,37,25,7,1,
IRATE,11,148,29,12,3,
COMBATIVE,10,129,32,19,1,
APPARENTLY,10,95,39,13,,
QUIET,10,27,8,1,4,
TALKATIVE,9,26,20,6,,
UNCOOPERATIVE,9,173,34,14,4,2
BELLIGERENT,6,25,3,2,1,
ERRATIC,6,16,2,3,,
SURPRISED,5,37,15,2,,
RELAXED,5,44,11,4,4,
EXCITED,5,16,14,7,1,
HAPPY,5,44,7,4,2,
EXTREMELY,5,9,2,2,,
AGGRESSIVE,5,120,24,14,,
COMPLIMENT,4,8,1,,,
RESPECTFUL,4,9,9,,,
COLLECTIVE,4,8,1,,,
FRIENDLY,4,17,,,1,
INDIFFERENT,4,18,5,,,
COMPLIANCE,3,3,,1,,
RUNNING,3,16,7,4,,
NEUTRAL,3,5,1,2,,
CRYING,3,13,10,4,1,
POLITE,3,11,5,,,
SPEECH,3,2,,,,
CONFRONTATIONAL,3,14,5,1,,
FRUSTRATED,3,25,9,2,,
WORRIED,3,14,3,,1,
PROFUSELY,3,4,2,,,
HIGHLY,3,20,10,2,3,1
EVASIVE,3,32,5,4,,
IRRITATED,3,27,9,5,,
PLEASANT,3,9,1,2,1,
SUPRISED,2,6,2,1,,
REFUSED,2,5,,,,
SLURRED,2,,,,,
APOLOGETIC,2,29,6,7,1,
DISRESPECTFUL,2,8,3,,,
FRANTIC,2,6,1,,,
HANDS,2,1,3,,,
STOP,2,21,9,3,,
APPREHENSIVE,2,1,,1,,
DEFENSIVE,2,20,10,4,,
NONE,2,10,2,1,,
NON-COMPLIANCE,2,24,4,2,,
EMOTIONALLY,2,5,,,,
DISTURBED,2,5,,,,
