"stop_id","suspect_race_description","demeanor_of_person_stopped"
"2019-1",BLACK,UNDERSTANDING
"2019-2",BLACK,NORMAL
"2019-3",WHITE,CALM
"2019-4",BLACK,CONFUSED
"2019-6",BLACK,COORPERATIVE
"2019-7",BLACK,COOPERATIVE
"2019-8",BLACK HISPANIC,COOPERATIVE
"2019-9",BLACK,CALM
"2019-10",BLACK,"NEUTRAL, NON HOSTILE"
"2019-11",WHITE HISPANIC,CALM
"2019-12",WHITE HISPANIC,UNDERSTANDABE
"2019-13",BLACK,UNDERSTANDABLE
"2019-14",BLACK,CALM
"2019-15",WHITE,CALM
"2019-16",BLACK,CALM
"2019-17",BLACK,CALM
"2019-18",BLACK,AGITATED
"2019-19",BLACK,UPSET
"2019-20",BLACK,AGITTATED
"2019-21",BLACK,CALM
"2019-22",BLACK,RELUCTANT
"2019-23",BLACK,CALM
"2019-24",BLACK HISPANIC,EMOTIONAL
"2019-25",BLACK,"CONFUSED, NON-COMPLIANT"
"2019-26",WHITE,ANNOYED
"2019-27",WHITE,NERVOUS
"2019-28",WHITE,CALM
"2019-29",WHITE HISPANIC,CALM
"2019-30",BLACK,CALM
"2019-31",BLACK,CALM AND COLLECTIVE
"2019-32",BLACK,CALM AND COOPERATIVE
"2019-33",ASIAN / PACIFIC ISLANDER,"CALM, PASSIVE."
"2019-34",BLACK,CALM
"2019-35",BLACK,CONFUSED
"2019-36",BLACK,COOPERATIVE
"2019-37",BLACK,COOPERATIVE
"2019-38",WHITE,CALM
"2019-39",BLACK,POLITE
"2019-40",WHITE,CALM
"2019-41",BLACK,CALM
"2019-42",BLACK,ANNOYED
"2019-43",BLACK,ANNOYED
"2019-44",BLACK,CALM
"2019-45",BLACK,CALM
"2019-46",WHITE,CALM
"2019-49",BLACK,QUIET
"2019-50",WHITE HISPANIC,QUIET
"2019-51",WHITE,COOPERATIVE
"2019-52",WHITE HISPANIC,COOPERATIVE
"2019-53",WHITE HISPANIC,COOPERATIVE
"2019-54",WHITE HISPANIC,CALM
"2019-55",WHITE HISPANIC,CALM
"2019-56",BLACK,INTOX/COOPERATIVE
"2019-57",BLACK,UPSET
"2019-58",BLACK,CALM
"2019-59",BLACK,"ANGRY, AGITATED"
"2019-60",BLACK,"ANGRY, AGITATED"
"2019-61",BLACK HISPANIC,CALM
"2019-62",BLACK,AGITATED
"2019-63",BLACK,AGITATED
"2019-64",BLACK HISPANIC,CALM
"2019-65",WHITE HISPANIC,UPSET
"2019-66",BLACK,"TALKING TO SELF, YELLING"
"2019-68",BLACK,AGITATED
